Instituição,Categoria,Produto/Serviço,Custo,Preço,Qualidade
OLX,Moradia,Kitnet - Várzea,500,600,3
MGF Imóveis,Moradia,Kitnet - Várzea,500,580,3
CTI Imobiliária,Moradia,Aluguel Centro,1500,1700,7
Orla Smart Live,Moradia,Aluguel Boa V.,3000,3700,9
CEASA,Alimentação,Feira do Mês,250,300,3
Mix Matheus,Alimentação,Feira do Mês,330,580,5
Pão de Açúcar,Alimentação,Feira do Mês,400,700,7
Home Chef,Alimentação,Chef em Casa,6000,8000,9
Grande Recife,Transporte,VEM Ônibus,120,172,3
UBER,Transporte,Uber Moto,300,440,4
99,Transporte,99 Moto,300,440,4
BYD,Transporte,BYD Dolphin,1800,2145,8
Amil,Saúde,Plano Fácil S80,100,168,3
Hapvida,Saúde,Plano Ambulatorial,50,96,2
Unimed,Saúde,Plano UniRede,120,179,3
Bradesco Saúde,Saúde,Plano Efetivo,150,251,4
UNINASSAU,Educação,Mensalidade,450,625,4
UNIFBV,Educação,Mensalidade,450,589,4
Estácio,Educação,Mensalidade,400,493,4
UniFG,Educação,Mensalidade,270,337,4.4
Governo,Saúde,SUS,25,0,4
Governo,Moradia,Minha Casa Minha Vida,752,600,6
Governo,Educação,UFRPE,3129,0,5
